XDAC V1.4 Datafile V1
"TiPyro3_Oct09.2703" created on 11/1/09 at 7:25:25 PM on U-7A
Diffraction element= 1200 l/mm.  Ring energy= 800.00 GeV
E0= 440.00
NUM_REGIONS= 3
SRB= 0 10 35 50
SRSS= .2 .1 .2
SPP= 1 1 1
Settling time= 0.00


Offsets= 2.20 140.00 189.80 449.60
Gains= 10.00 0.00 0.00 0.00
Pyrochlore#3(Pristine GdTi2O7)/Angle 55/Bias -270/TiN Mesh
1200l/mm Gratings, 30um slits, ecc:60uA
CsI FY Collector:2200V, BackEnd:2000V, Cone:GND, Bias:-760
--------------------------------------------------------------------------------
        Energy         Io_up            I0            EY        FY_CsI
     466.00222        0.8000     5814.0000     1439.2000     9469.4000
     466.12126        0.8000     5819.0000     1360.2000     9278.4000
     466.18538        0.8000     5824.0000     1325.2000     8898.4000
     466.30451        1.8000     5826.0000     1244.2000     8433.4000
     466.40536        0.8000     5832.0000     1187.2000     8201.4000
     466.49097        0.8000     5836.0000     1140.2000     8070.4000
     466.61026        0.8000     5838.0000     1104.2000     7779.4000
     466.67451        0.8000     5840.0000     1068.2000     7770.4000
     466.79696        0.8000     5845.0000     1027.2000     7318.4000
     466.91640        0.8000     5852.0000     1000.2000     7130.4000
     466.98074        0.8000     5853.0000      979.2000     7098.4000
     467.10334        0.8000     5856.0000      963.2000     6964.4000
     467.22601        0.8000     5862.0000      949.2000     6670.4000
     467.22601        0.8000     5866.0000      956.2000     6893.4000
     467.40399        0.8000     5871.0000      932.2000     6682.4000
     467.47154        0.8000     5875.0000      918.2000     6522.4000
     467.59440        0.8000     5878.0000      906.2000     6510.4000
     467.71733        0.8000     5885.0000      898.2000     6415.4000
     467.77881        0.8000     5889.0000      895.2000     6405.4000
     467.90184        0.8000     5894.0000      896.2000     6254.4000
     468.01877        0.8000     5894.0000      890.2000     6281.4000
     468.08649        0.8000     5895.0000      902.2000     6245.4000
     468.20968        0.8000     5897.0000      886.2000     6233.4000
     468.27437        0.8000     5903.0000      873.2000     6139.4000
     468.39458        0.8000     5903.0000      879.2000     6322.4000
     468.51484        0.8000     5907.0000      870.2000     6077.4000
     468.58271        0.8000     5907.0000      879.2000     6258.4000
     468.70306        0.8000     5914.0000      879.2000     6118.4000
     468.82657        0.8000     5916.0000      872.2000     6216.4000
     468.82657        0.8000     5917.0000      873.2000     6162.4000
     469.00269        0.8000     5922.0000      865.2000     6185.4000
     469.07379        0.8000     5925.0000      874.2000     6187.4000
     469.19749        0.8000     5930.0000      870.2000     6154.4000
     469.32126        0.8000     5936.0000      872.2000     6149.4000
     469.38317        0.8000     5936.0000      873.2000     6291.4000
     469.50394        0.8000     5939.0000      877.2000     6235.4000
     469.59689        0.8000     5937.0000      875.2000     6300.4000
     469.69297        0.8000     5937.0000      877.2000     6377.4000
     469.81700        0.8000     5936.0000      875.2000     6257.4000
     469.87904        0.8000     5944.0000      875.2000     6337.4000
     470.00006        0.8000     5945.0000      878.2000     6222.4000
     470.11805        0.8000     5949.0000      886.2000     6405.4000
     470.18949        0.8000     5951.0000      888.2000     6276.4000
     470.31067        0.8000     5955.0000      884.2000     6270.4000
     470.37595        0.8000     5957.0000      880.2000     6261.4000
     470.50035        0.8000     5960.0000      875.2000     6227.4000
     470.62169        0.8000     5963.0000      879.2000     6433.4000
     470.68706        0.8000     5966.0000      884.2000     6238.4000
     470.81162        0.8000     5973.0000      879.2000     6222.4000
     470.87703        0.8000     5978.0000      879.2000     6348.4000
     470.99858        0.8000     5982.0000      884.2000     6220.4000
     471.12018        0.8000     5987.0000      886.2000     6179.4000
     471.18568        0.8000     5986.0000      884.2000     6254.4000
     471.31051        0.8000     5990.0000      877.2000     6300.4000
     471.42915        0.8000     5994.0000      893.2000     6224.4000
     471.42602        0.8000     5989.0000      878.2000     6227.4000
     471.56347        1.8000     5996.0000      890.2000     6402.4000
     471.68849        1.8000     5998.0000      891.2000     6435.4000
     471.81045        0.8000     6003.0000      887.2000     6393.4000
     471.92622        0.8000     6006.0000      889.2000     6424.4000
